Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v Chattanooga,0.0,11.195,Full Game,1,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,11.195,18.97,Full Game,2,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,30.165,26.712000000000003,Full Game,3,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,56.877,16.183,Full Game,4,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,73.06,17.768,Full Game,5,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,90.828,14.548999999999992,Full Game,6,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Chattanooga,105.377,8.75800000000001,Full Game,7,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,114.135,18.70299999999999,Full Game,8,"-3, OREB",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,132.838,7.825000000000017,Full Game,9,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Chattanooga,140.663,10.593999999999994,Full Game,10,+3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,151.257,18.385999999999996,Full Game,11,"PaintTouch, Turnover",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Chattanooga,169.643,17.63499999999999,Full Game,12,PaintTouch,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Chattanooga,187.278,31.632000000000005,Full Game,13,"PaintTouch, +3",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,218.91,13.146999999999991,Full Game,14,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,232.057,14.815000000000026,Full Game,15,+3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,246.872,15.380999999999972,Full Game,16,Turnover,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Chattanooga,262.253,15.783999999999992,Full Game,17,Turnover,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Chattanooga,278.037,21.105000000000018,Full Game,18,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,299.142,21.637999999999977,Full Game,19,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,330.657,19.65300000000002,Full Game,20,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,350.31,22.956999999999994,Full Game,21,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,373.267,29.312999999999988,Full Game,22,"PaintTouch, -3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,402.58,13.163000000000011,Full Game,23,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,415.743,14.115000000000009,Full Game,24,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,429.858,26.928999999999974,Full Game,25,"PaintTouch, +2",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,456.787,22.479720439006144,Full Game,26,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,481.429,16.51600000000002,Full Game,27,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Chattanooga,497.945,19.27000000000004,Full Game,28,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,517.215,16.100000000000023,Full Game,29,+3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,533.315,19.36999999999989,Full Game,30,-3,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Chattanooga,552.685,15.349000000000046,Full Game,31,"-3, OREB",,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Chattanooga,568.034,19.23599999999999,Full Game,32,Turnover,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
