Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,ISO DIRECTION,ISO LOCATION,ISO MOVE,ISO PLAYER,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v Lipscomb,0.0,21.973,BU Defense v Lipscomb,1,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,21.973,23.524,BU Defense v Lipscomb,2,"PaintTouch, -3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,45.497,26.143,BU Defense v Lipscomb,3,"PaintTouch, +2",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,71.64,21.421999999999997,BU Defense v Lipscomb,4,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,93.062,11.411000000000001,BU Defense v Lipscomb,5,+2,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,104.473,15.634,BU Defense v Lipscomb,6,"+3, PaintTouch",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,120.107,19.15299999999999,BU Defense v Lipscomb,7,"PaintTouch, +3",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,139.26,25.977000000000004,BU Defense v Lipscomb,8,"PaintTouch, -3",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,165.237,11.611000000000018,BU Defense v Lipscomb,9,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,176.848,12.663999999999987,BU Defense v Lipscomb,10,PaintTouch,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Lipscomb,189.512,21.53800000000001,BU Defense v Lipscomb,11,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,211.05,20.35299999999998,BU Defense v Lipscomb,12,"PaintTouch, PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,231.403,10.979000000000013,BU Defense v Lipscomb,13,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,242.382,17.617999999999995,BU Defense v Lipscomb,14,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,260.0,25.742999999999995,BU Defense v Lipscomb,15,-3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,285.743,7.425000000000011,BU Defense v Lipscomb,16,+3,,,,,,Badger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,293.168,13.699000000000012,BU Defense v Lipscomb,17,"PaintTouch, +2",,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,306.867,17.550999999999988,BU Defense v Lipscomb,18,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,324.418,16.23399999999998,BU Defense v Lipscomb,19,"PaintTouch, -2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v Lipscomb,340.652,15.665999999999997,BU Defense v Lipscomb,20,"PaintTouch, -2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,356.318,21.924000000000035,BU Defense v Lipscomb,21,Turnover,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v Lipscomb,378.242,15.915999999999997,BU Defense v Lipscomb,22,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,394.158,22.007000000000005,BU Defense v Lipscomb,23,"PaintTouch, PaintTouch, +2",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v Lipscomb,416.165,23.022999999999968,BU Defense v Lipscomb,24,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v Lipscomb,439.188,16.602000000000032,BU Defense v Lipscomb,25,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v Lipscomb,455.79,16.38299999999998,BU Defense v Lipscomb,26,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,472.173,12.680000000000007,BU Defense v Lipscomb,27,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,484.853,19.370000000000005,BU Defense v Lipscomb,28,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v Lipscomb,504.223,15.800000000000011,BU Defense v Lipscomb,29,-3,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
