Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,Box Touch Number,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,LiveDrills,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,Reversal Number,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Teaching,Teammate,Ungrouped,Notes,Flags
BU Defense v NKU,0,18.235,Bellarmine Defense,1,Turnover,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,,,
BU Defense v NKU,18.235,11.997,Bellarmine Defense,2,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,30.232,24.425,Bellarmine Defense,3,3,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,,,
BU Defense v NKU,54.657,12.846,Bellarmine Defense,4,Turnover,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,,,
BU Defense v NKU,67.503,11.429,Bellarmine Defense,5,2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,78.932,11.528,Bellarmine Defense,6,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,90.46,8.325,Bellarmine Defense,7,3,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,98.785,12.28,Bellarmine Defense,8,2,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,111.065,13.663,Bellarmine Defense,9,3,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
BU Defense v NKU,124.728,26.877,Bellarmine Defense,10,-3,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
BU Defense v NKU,151.605,14.332,Bellarmine Defense,11,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
BU Defense v NKU,165.937,16.13179021,Bellarmine Defense,12,-2,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
BU Defense v NKU,186.208,10.762,Bellarmine Defense,13,"OREB, +2",,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,,,
BU Defense v NKU,196.97,8.793,Bellarmine Defense,14,2,,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,,,
BU Defense v NKU,205.763,27.48453371,Bellarmine Defense,15,-3,,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,,,
BU Defense v NKU,244.0505901,6.642409917,Bellarmine Defense,16,"OREB, -3",,,,,,,Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,,,
