Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU vs Queens D 2,0,13.063,BU D vs QU,1,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,13.063,10.995,BU D vs QU,2,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,24.058,10.795,BU D vs QU,3,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,34.853,14.415,BU D vs QU,4,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,49.268,13.932,BU D vs QU,5,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,63.2,11.863,BU D vs QU,6,PaintTouch,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,75.063,14.832,BU D vs QU,7,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,89.895,19.603,BU D vs QU,8,"PaintTouch, PaintTouch, -3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,109.498,14.232,BU D vs QU,9,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,123.73,13.463,BU D vs QU,10,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,137.193,14.249,BU D vs QU,11,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,151.442,14.015,BU D vs QU,12,"OREB, -3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU vs Queens D 2,165.457,7.291,BU D vs QU,13,3,,,,,,Badger,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,172.748,17.385,BU D vs QU,14,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,190.133,20.322,BU D vs QU,15,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,210.455,7.825,BU D vs QU,16,"PaintTouch, Foul Drawn",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU vs Queens D 2,218.28,14.482,BU D vs QU,17,"PaintTouch, +2",,,,,,"Badger, Man",,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,232.762,20.921,BU D vs QU,18,"OREB, -3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,253.683,11.412,BU D vs QU,19,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU vs Queens D 2,265.095,11.979,BU D vs QU,20,3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU vs Queens D 2,277.074,9.143,BU D vs QU,21,"Deflection, Turnover",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
