Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,HAND OFF LOCATION,HAND OFF RECEIVER,HAND OFF TYPE,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,OFF SCREEN CUT TYPE,OFF SCREEN CUTTER,OFF SCREEN DIRECTION,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v UCA,0.0,23.24,BU Defense v UCA,1,"OREB, -3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,23.24,17.752,BU Defense v UCA,2,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,40.992,12.246000000000002,BU Defense v UCA,3,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,53.238,20.989000000000004,BU Defense v UCA,4,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,74.227,15.400999999999996,BU Defense v UCA,5,"PaintTouch, -2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,89.628,12.379999999999995,BU Defense v UCA,6,+2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,102.008,10.929000000000002,BU Defense v UCA,7,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,112.937,10.760999999999996,BU Defense v UCA,8,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,123.698,18.637000000000015,BU Defense v UCA,9,+3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,142.335,14.431999999999988,BU Defense v UCA,10,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,156.767,17.98599999999999,BU Defense v UCA,11,-3,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,174.753,12.447000000000003,BU Defense v UCA,12,-3,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,187.2,14.682000000000016,BU Defense v UCA,13,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,201.882,11.061000000000007,BU Defense v UCA,14,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,212.943,21.406999999999982,BU Defense v UCA,15,"-3, PaintTouch",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,234.35,24.24199999999999,BU Defense v UCA,16,"-3, OREB",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,258.592,13.43100000000004,BU Defense v UCA,17,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UCA,272.023,21.089,BU Defense v UCA,18,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UCA,293.112,19.202999999999975,BU Defense v UCA,19,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UCA,312.315,19.502999999999986,BU Defense v UCA,20,+3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
