Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,P&R SCREENER,P&R SCREENER MOVE,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v UNA,0.0,21.988,BU Defense v UNA,1,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UNA,21.988,21.807000000000002,BU Defense v UNA,2,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,43.795,24.807999999999993,BU Defense v UNA,3,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UNA,68.603,24.275000000000006,BU Defense v UNA,4,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,92.878,28.647000000000006,BU Defense v UNA,5,Turnover,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UNA,121.525,32.79999999999998,BU Defense v UNA,6,Turnover,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UNA,154.325,9.543000000000006,BU Defense v UNA,7,Turnover,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UNA,163.868,19.72,BU Defense v UNA,8,Turnover,,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UNA,183.588,17.602000000000004,BU Defense v UNA,9,Turnover,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UNA,201.19,18.387,BU Defense v UNA,10,"-3, OREB",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 1,,,,,,
BU Defense v UNA,219.577,19.836000000000013,BU Defense v UNA,11,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,239.413,11.82899999999998,BU Defense v UNA,12,"PaintTouch, -2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UNA,251.242,10.828000000000003,BU Defense v UNA,13,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
