Timeline,Start time,Duration,Row,Instance number,Action,BREAKDOWN,CLOCK,CUT TYPE,CUTTER,DATE,DefenseType,GAME,JUMP SHOT DISTANCE,Lineup,NO DRIBBLE JUMP SHOT DEFENSE,On Court,P&R ANGLE,P&R BALL HANDLER,P&R BALL HANDLER PRIMARY MOVE,P&R BALL HANDLER SECONDARY MOVE,P&R LOCATION,PERIOD,PLAYER,POST MOVE,POST MOVE TYPE,POST TURN,POST-UP LOCATION,POST-UP PLAYER,RESULT,SHOOTER,SHOT TYPE,SPOT-UP DIRECTION,SPOT-UP MOVE,SPOT-UP PLAYER,Shot Quality,TEAM,TRANSITION PLAYER,TRANSITION ROLE,Ungrouped,Notes,Flags
BU Defense v UWG,0.0,20.922,BU Defensive Possessions v UWG,1,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,20.922,8.175,BU Defensive Possessions v UWG,2,+2,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UWG,29.097,21.037999999999997,BU Defensive Possessions v UWG,3,,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,50.135,20.772,BU Defensive Possessions v UWG,4,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,70.907,18.986000000000004,BU Defensive Possessions v UWG,5,"PaintTouch, +3",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,89.893,22.974000000000004,BU Defensive Possessions v UWG,6,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,112.867,17.11800000000001,BU Defensive Possessions v UWG,7,"PaintTouch, +2",,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,129.985,20.15299999999999,BU Defensive Possessions v UWG,8,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,150.138,12.228999999999985,BU Defensive Possessions v UWG,9,"-3, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,162.367,10.593000000000018,BU Defensive Possessions v UWG,10,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,172.96,16.782999999999987,BU Defensive Possessions v UWG,11,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,189.743,21.655,BU Defensive Possessions v UWG,12,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UWG,211.398,18.769000000000005,BU Defensive Possessions v UWG,13,"-2, OREB, PaintTouch",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,230.167,11.260999999999996,BU Defensive Possessions v UWG,14,-2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,241.428,20.122000000000014,BU Defensive Possessions v UWG,15,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,261.55,14.231999999999971,BU Defensive Possessions v UWG,16,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,275.782,17.935000000000002,BU Defensive Possessions v UWG,17,+3,,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,293.717,10.677999999999997,BU Defensive Possessions v UWG,18,PaintTouch,,,,,,Transition,,,,,,,,,,,,,,,,,,,,,,,,"Foul Drawn, Shot Qual 4",,,,,,
BU Defense v UWG,304.395,14.648000000000025,BU Defensive Possessions v UWG,19,"PaintTouch, PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UWG,319.043,12.379999999999995,BU Defensive Possessions v UWG,20,"PaintTouch, +2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,331.423,19.370000000000005,BU Defensive Possessions v UWG,21,"PaintTouch, Turnover",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UWG,350.793,12.930000000000007,BU Defensive Possessions v UWG,22,Turnover,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,No Shot,,,,,,
BU Defense v UWG,363.723,16.801999999999964,BU Defensive Possessions v UWG,23,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,380.525,25.760000000000048,BU Defensive Possessions v UWG,24,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,406.285,12.813999999999965,BU Defensive Possessions v UWG,25,-3,,,,,,Shark,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,419.099,21.321000000000026,BU Defensive Possessions v UWG,26,+2,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,440.42,17.18399999999997,BU Defensive Possessions v UWG,27,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,457.604,20.388000000000034,BU Defensive Possessions v UWG,28,-3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,477.992,21.072000000000003,BU Defensive Possessions v UWG,29,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,499.064,22.37299999999999,BU Defensive Possessions v UWG,30,"PaintTouch, -2, OREB",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,521.437,9.360000000000014,BU Defensive Possessions v UWG,31,"PaintTouch, -2",,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 4,,,,,,
BU Defense v UWG,530.797,20.15300000000002,BU Defensive Possessions v UWG,32,"PaintTouch, -3",,,,,,"Puma, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
BU Defense v UWG,550.95,24.358999999999924,BU Defensive Possessions v UWG,33,"-3, OREB",,,,,,"Badger, Hog",,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 2,,,,,,
BU Defense v UWG,575.309,12.980000000000018,BU Defensive Possessions v UWG,34,+3,,,,,,Hog,,,,,,,,,,,,,,,,,,,,,,,,Shot Qual 3,,,,,,
