Timeline,Start time,Duration,Row,Instance number,2 Side,Action,BallReversals,Box Touch Number,BoxTouches,CutAssists,DudeOfDay,Lineup,LiveDrills,On Court,PlayCalls,PossessionType,PostTouch,Reversal Number,Shot Quality,ShotQualRatings,ShotResult,Teaching,Ungrouped,Notes,Flags
250929,2613.1981236466927,15.472927104307473,Red,1,,-3,,Box Touch 0,,,, | #2 Tyler Doyle | #7 Donovan Hunter | #11 Brian Waddell | #21 Grant Neal | #24 Michael Wilson,Scramble,"#2 Tyler Doyle, #7 Donovan Hunter, #11 Brian Waddell, #21 Grant Neal, #24 Michael Wilson",,Half Court,,Reversal 0,Shot Qual 2,,,,,,
250929,2627.513438191,5.3595060989996455,Red,2,,+2,,Box Touch 1,,,, | #2 Tyler Doyle | #7 Donovan Hunter | #11 Brian Waddell | #21 Grant Neal | #24 Michael Wilson,Scramble,"#2 Tyler Doyle, #7 Donovan Hunter, #11 Brian Waddell, #21 Grant Neal, #24 Michael Wilson",,Half Court,,Reversal 0,Shot Qual 4,,,,,,
250929,2641.796291972626,16.985904451374154,Red,3,,-3,,Box Touch 0,,,, | #2 Tyler Doyle | #7 Donovan Hunter | #11 Brian Waddell | #21 Grant Neal | #24 Michael Wilson,Scramble,"#2 Tyler Doyle, #7 Donovan Hunter, #11 Brian Waddell, #21 Grant Neal, #24 Michael Wilson",,Half Court,,Reversal 1,Shot Qual 2,,,,,,
250929,2885.769665337,9.121310844000163,Red,4,,D REB,,Box Touch 1,,,, | #0 Tommy Clark | #7 Donovan Hunter | #11 Brian Waddell | #21 Grant Neal | #24 Michael Wilson,Scramble,"#0 Tommy Clark, #7 Donovan Hunter, #11 Brian Waddell, #21 Grant Neal, #24 Michael Wilson",,Transition,,Reversal 0,"Foul Drawn, Shot Qual 4",,,,,,
250929,2910.9976484162607,16.160642875739086,Red,5,,-3,,Box Touch 0,,,, | #0 Tommy Clark | #7 Donovan Hunter | #11 Brian Waddell | #21 Grant Neal | #24 Michael Wilson,Scramble,"#0 Tommy Clark, #7 Donovan Hunter, #11 Brian Waddell, #21 Grant Neal, #24 Michael Wilson",,Half Court,,Reversal 1,Shot Qual 2,,,,,,
250929,2988.5951612699105,12.428325416089592,Red,6,,"O REB, Assist, +3",,Box Touch 0,,,, | #1 Ant McAfee | #2 Tyler Doyle | #11 Brian Waddell | #21 Grant Neal,Scramble,"#1 Ant McAfee, #2 Tyler Doyle, #11 Brian Waddell, #21 Grant Neal",,Half Court,,Reversal 1,Shot Qual 3,,,,,,
250929,3019.2974424992503,17.295569933749448,Red,7,,"D REB, -2",,Box Touch 2,,,, | #1 Ant McAfee | #2 Tyler Doyle | #7 Donovan Hunter | #11 Brian Waddell | #21 Grant Neal,Scramble,"#1 Ant McAfee, #2 Tyler Doyle, #7 Donovan Hunter, #11 Brian Waddell, #21 Grant Neal",,Half Court,,Reversal 1,Shot Qual 1,,,,,,
250929,3075.2976255818753,21.408402883124836,Red,8,,"Tip Out, O REB",,,,,, | #0 Tommy Clark | #7 Donovan Hunter | #24 Michael Wilson | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #7 Donovan Hunter, #24 Michael Wilson, #44 Jacob Wassler",,Half Court,,,No Shot,,,,,,
250929,3149.7981665806683,22.493189671331493,Red,9,,"D REB, -3",,Box Touch 0,,,, | #0 Tommy Clark | #1 Ant McAfee | #7 Donovan Hunter | #24 Michael Wilson | #44 Jacob Wassler,Scramble,"#0 Tommy Clark, #1 Ant McAfee, #7 Donovan Hunter, #24 Michael Wilson, #44 Jacob Wassler",,Half Court,,Reversal 2,Shot Qual 2,,,,,,
250929,3249.798338123213,6.549836266787224,Red,10,,"O REB, +2",,Box Touch 0,,,, | #11 Brian Waddell | #21 Grant Neal | #24 Michael Wilson | #44 Jacob Wassler,Scramble,"#11 Brian Waddell, #21 Grant Neal, #24 Michael Wilson, #44 Jacob Wassler",,Half Court,,Reversal 0,Shot Qual 4,,,,,,
