Timeline,Start time,Duration,Row,Instance number,2 Cross,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251004,1006.8979935136819,18.22032663831817,Red,1,,"+3, Turnover","Box Touch 0, Box Touch 0", | #0 Tommy Clark | #2 Tyler Doyle | #7 Donovan Hunter | #22 Darrius Bolden | #23 Sam Donald,Scramble,"#0 Tommy Clark, #2 Tyler Doyle, #7 Donovan Hunter, #22 Darrius Bolden, #23 Sam Donald",Half Court,"Reversal 2, Reversal 0","Shot Qual 3, No Shot",Teaching Clip,,,
251004,1052.397942239901,16.983379092098858,Red,2,,,Box Touch 0, | #0 Tommy Clark | #2 Tyler Doyle | #7 Donovan Hunter | #22 Darrius Bolden | #23 Sam Donald,Scramble,"#0 Tommy Clark, #2 Tyler Doyle, #7 Donovan Hunter, #22 Darrius Bolden, #23 Sam Donald",Half Court,Reversal 0,No Shot,,,,
251004,1085.7983537713033,12.533941856696856,Red,3,,+2,Box Touch 0, | #0 Tommy Clark | #2 Tyler Doyle | #7 Donovan Hunter | #22 Darrius Bolden | #23 Sam Donald,Scramble,"#0 Tommy Clark, #2 Tyler Doyle, #7 Donovan Hunter, #22 Darrius Bolden, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 4,Teaching Clip,,,
251004,1108.3979079366266,15.95545943837351,Red,4,,,Box Touch 1, | #0 Tommy Clark | #2 Tyler Doyle | #7 Donovan Hunter | #22 Darrius Bolden | #23 Sam Donald,Scramble,"#0 Tommy Clark, #2 Tyler Doyle, #7 Donovan Hunter, #22 Darrius Bolden, #23 Sam Donald",Half Court,Reversal 1,No Shot,,,,
251004,1180.4981149436649,15.899058589335027,Red,5,,-2,Box Touch 1, | #2 Tyler Doyle | #7 Donovan Hunter | #14 Dom Murphy | #15 Luke Anderson | #22 Darrius Bolden,Scramble,"#2 Tyler Doyle, #7 Donovan Hunter, #14 Dom Murphy, #15 Luke Anderson, #22 Darrius Bolden",Half Court,Reversal 1,Shot Qual 1,,,,
251004,1255.9984341256131,10.880236549386836,Red,6,,"Deflection, Steal",Box Touch 0, | #0 Tommy Clark | #2 Tyler Doyle | #15 Luke Anderson | #22 Darrius Bolden | #23 Sam Donald,Scramble,"#0 Tommy Clark, #2 Tyler Doyle, #15 Luke Anderson, #22 Darrius Bolden, #23 Sam Donald",Half Court,Reversal 1,No Shot,,,,
251004,1598.3985327499156,19.27003040408431,Red,7,,+3,Box Touch 0, | #0 Tommy Clark | #7 Donovan Hunter | #15 Luke Anderson | #22 Darrius Bolden | #23 Sam Donald,Scramble,"#0 Tommy Clark, #7 Donovan Hunter, #15 Luke Anderson, #22 Darrius Bolden, #23 Sam Donald",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251004,1645.898287767897,13.62345752510305,Red,8,,-3,Box Touch 0, | #0 Tommy Clark | #7 Donovan Hunter | #15 Luke Anderson | #22 Darrius Bolden | #23 Sam Donald,Scramble,"#0 Tommy Clark, #7 Donovan Hunter, #15 Luke Anderson, #22 Darrius Bolden, #23 Sam Donald",Half Court,Reversal 0,Shot Qual 3,Teaching Clip,,,
251004,2032.6980113745967,24.484882667403326,Red,9,,-2,Box Touch 0, | #0 Tommy Clark | #2 Tyler Doyle | #7 Donovan Hunter | #23 Sam Donald,Box Drill Baseball,"#0 Tommy Clark, #2 Tyler Doyle, #7 Donovan Hunter, #23 Sam Donald",Half Court,Reversal 2,Shot Qual 1,,,,
251004,2079.19798232631,14.968006666690144,Red,10,,-3,Box Touch 0, | #2 Tyler Doyle | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,Box Drill Baseball,"#2 Tyler Doyle, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court,Reversal 1,Shot Qual 2,,,,
251004,2105.698509514554,13.114437040445864,Red,11,,,Box Touch 0, | #2 Tyler Doyle | #7 Donovan Hunter | #15 Luke Anderson | #22 Darrius Bolden,Box Drill Baseball,"#2 Tyler Doyle, #7 Donovan Hunter, #15 Luke Anderson, #22 Darrius Bolden",Half Court,Reversal 0,No Shot,,,,
251004,2372.3980789242996,20.965248372700444,Red,12,,+2,Box Touch 0, | #2 Tyler Doyle | #7 Donovan Hunter | #15 Luke Anderson | #22 Darrius Bolden,Box Drill Baseball,"#2 Tyler Doyle, #7 Donovan Hunter, #15 Luke Anderson, #22 Darrius Bolden",Half Court,Reversal 0,Shot Qual 2,,,,
