Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
251008,970.3980779729467,20.850887470053294,Grey,1,+3,Box Touch 1, | #7 Donovan Hunter | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 3,Teaching Clip,,,
251008,1006.0979017412819,22.6524841637181,Grey,2,+3,Box Touch 1, | #7 Donovan Hunter | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251008,1056.0980990689266,20.88550874907355,Grey,3,-3,Box Touch 1, | #7 Donovan Hunter | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#7 Donovan Hunter, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 3,,,,
251008,1162.098168639582,15.435016303418024,Grey,4,+3,Box Touch 1, | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 2,Teaching Clip,,,
251008,1189.498538590962,13.707291005038087,Grey,5,"Deflection, -3",Box Touch 0, | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,Shot Qual 3,,,,
251008,1201.205829596,3.5993600839999544,Grey,6,+2,Box Touch 0, | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson, #32 Jack Karasinki",Other,Reversal 0,Shot Qual 4,,,,
251008,1220.9981105659117,19.886922770088404,Grey,7,+2,Box Touch 1, | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 2,Shot Qual 4,Teaching Clip,,,
251008,1250.3158555555556,16.935534107444482,Grey,8,+3,Box Touch 0, | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,Teaching Clip,,,
251008,1299.19801944362,20.321051537379844,Grey,9,-3,Box Touch 0, | #8 Kenyon Goodin | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 2,,,,
251008,2482.2979690620054,11.419546711994371,Grey,10,,Box Touch 1, | #2 Tyler Doyle | #11 Brian Waddell | #22 Darrius Bolden | #24 Michael Wilson,Kill Drill,"#2 Tyler Doyle, #11 Brian Waddell, #22 Darrius Bolden, #24 Michael Wilson",Half Court,Reversal 1,"Foul Drawn, Shot Qual 4",,,,
