Timeline,Start time,Duration,Row,Instance number,Action,Box Touch Number,Contest Grade,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Ungrouped,Notes,Flags
.SCTimeline,1453.497,10.503999999999905,Grey,1,+3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki","Half Court , Half Court ",Reversal 0,Shot Qual 2,,,,
.SCTimeline,1471.797,15.917999999999893,Grey,2,+3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 1,,,,
.SCTimeline,1497.597,15.989000000000033,Grey,3,+3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 2,Shot Qual 3,,,,
.SCTimeline,1531.298,16.088999999999942,Grey,4,-3,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Scramble,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 2,Shot Qual 1,,,,
.SCTimeline,1719.166,12.44900000000007,Grey,5,-2,Box Touch 1,, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Scramble,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 0,Shot Qual 1,,,,
.SCTimeline,1848.397,6.8250000000000455,Grey,6,Deflection,Box Touch 0,, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Scramble,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 0,No Shot,,,,
.SCTimeline,1861.797,15.101999999999862,Grey,7,"Deflection, -3",Box Touch 0,, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Scramble,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 2,Shot Qual 1,,,,
.SCTimeline,2849.098,17.09400000000005,Grey,8,,Box Touch 0,, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,Baseline Touch,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court ,Reversal 1,No Shot,,,,
.SCTimeline,2879.298,20.325000000000273,Grey,9,,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#8 Kenyon Goodin, #10 Grant Whitaker, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 2,No Shot,,,,
.SCTimeline,2956.498,13.748000000000047,Grey,10,-3,Box Touch 0,, | #4 Grant Neal | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#4 Grant Neal, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 0,Shot Qual 2,,,,
.SCTimeline,2993.533,14.336999999999989,Grey,11,+3,Box Touch 0,, | #4 Grant Neal | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#4 Grant Neal, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 3,,,,
.SCTimeline,3130.497,18.91300000000001,Grey,12,,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Baseline Touch,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Half Court ,Reversal 3,"Foul Drawn, No Shot",Good O,,,
.SCTimeline,3177.397,10.146000000000186,Grey,13,-2,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #32 Jack Karasinki,Baseline Touch,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #32 Jack Karasinki",Special,Reversal 1,Shot Qual 4,,,,
.SCTimeline,3249.198,16.860000000000127,Grey,14,,Box Touch 1,, | #4 Grant Neal | #8 Kenyon Goodin | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#4 Grant Neal, #8 Kenyon Goodin, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 1,"Foul Drawn, No Shot",,,,
.SCTimeline,3371.316,27.063000000000102,Grey,15,,Box Touch 0,, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#4 Grant Neal, #8 Kenyon Goodin, #24 Michael Wilson, #32 Jack Karasinki, #11 Brian Waddell",Special,Reversal 3,No Shot,Good D,,,
.SCTimeline,3416.997,3.367000000000189,Grey,16,,,, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,Baseline Touch,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Transition,,,Good O,,,
.SCTimeline,4424.797,14.67200000000048,Grey,17,,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,"5v5 Scramble, 4v4","#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court ,Reversal 0,No Shot,,,,
.SCTimeline,4554.25,21.475000000000364,Grey,18,-3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,"5v5 Scramble, 4v4","#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court ,Reversal 2,Shot Qual 3,,,,
.SCTimeline,4589.597,21.110000000000582,Grey,19,-3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,"5v5 Scramble, 4v4","#8 Kenyon Goodin, #10 Grant Whitaker, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,4940.897,10.833999999999833,Grey,20,-3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #32 Jack Karasinki,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 3,,,,
.SCTimeline,4965.098,19.22100000000046,Grey,21,-2,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #32 Jack Karasinki,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,4995.098,16.03399999999965,Grey,22,+2,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson",Half Court ,Reversal 2,Shot Qual 3,,,,
.SCTimeline,5020.097,5.119999999999891,Grey,23,Deflection,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson",Half Court ,Reversal 0,No Shot,,,,
.SCTimeline,5034.295,13.856999999999971,Grey,24,,Box Touch 0,, | #4 Grant Neal | #8 Kenyon Goodin | #11 Brian Waddell | #24 Michael Wilson,4v4,"#4 Grant Neal, #8 Kenyon Goodin, #11 Brian Waddell, #24 Michael Wilson",Half Court ,Reversal 0,No Shot,,,,
.SCTimeline,5072.898,24.372999999999593,Grey,25,-2,Box Touch 1,, | #4 Grant Neal | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,4v4,"#4 Grant Neal, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 1,Shot Qual 1,,,,
.SCTimeline,5128.298,15.818000000000211,Grey,26,-3,Box Touch 0,, | #10 Grant Whitaker | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,4v4,"#10 Grant Whitaker, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court ,Reversal 0,Shot Qual 1,,,,
.SCTimeline,5184.497,18.362999999999374,Grey,27,+2,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson",Half Court ,Reversal 1,Shot Qual 4,,,,
.SCTimeline,5232.398,18.006999999999607,Grey,28,+3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson",Half Court ,Reversal 1,Shot Qual 2,,,,
.SCTimeline,5259.697,12.086999999999534,Grey,29,,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson",Half Court ,Reversal 0,"Foul Drawn, Shot Qual 4",,,,
.SCTimeline,5305.497,16.759000000000015,Grey,30,,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson,4v4,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson",Half Court ,Reversal 1,No Shot,Good D,,,
