Timeline,Start time,Duration,Row,Instance number,5 Out,Action,Box Touch Number,Contest Grade,Lineup,LiveDrills,On Court,PossessionType,Reversal Number,Shot Quality,Teaching,Teammate,Ungrouped,Notes,Flags
251212,1619.1975079983033,16.398560536696777,Grey,1,,+3,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,Scramble,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 1,Shot Qual 3,,,,,
251212,1643.305253165,13.461452706000046,Grey,2,,+3,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,Scramble,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 1,Shot Qual 3,,,,,
251212,1664.5969578392112,16.603911588788833,Grey,3,,+3,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,Scramble,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 3,Shot Qual 3,,,,,
251212,1694.4973506459519,18.975614728048185,Grey,4,,+2,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,Scramble,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Half Court,Reversal 1,Shot Qual 3,,,,,
251212,3921.7974875402924,30.909332892707425,Grey,5,,-3,Box Touch 1,, | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,5v5 Hog,"#8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 4,Shot Qual 3,,,,,
251212,3998.7794404159476,8.54397212105232,Grey,6,,,Box Touch 1,, | #8 Kenyon Goodin | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,5v5 Hog,"#8 Kenyon Goodin, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 0,"Foul Drawn, Shot Qual 4",,,,,
251212,4069.472249042,14.807373391000056,Grey,7,,-3,Box Touch 1,, | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,5v5 Hog,"#10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,,,,,
251212,4082.279622433,9.366659275000075,Grey,8,,-3,Box Touch 0,, | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,5v5 Hog,"#10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,Shot Qual 3,,,,,
251212,4101.197879832213,6.895829000786762,Grey,9,,+2,Box Touch 1,, | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson | #32 Jack Karasinki,5v5 Hog,"#10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson, #32 Jack Karasinki",Transition,Reversal 0,Shot Qual 4,,,,,
251212,4151.92644662,16.343421329999728,Grey,10,,,Box Touch 0,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #24 Michael Wilson | #32 Jack Karasinki,5v5 Hog,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #24 Michael Wilson, #32 Jack Karasinki",Half Court,Reversal 1,No Shot,,,,,
251212,4205.198091611341,11.973173379658874,Grey,11,,+3,Box Touch 1,, | #8 Kenyon Goodin | #10 Grant Whitaker | #11 Brian Waddell | #23 Sam Donald | #24 Michael Wilson,5v5 Hog,"#8 Kenyon Goodin, #10 Grant Whitaker, #11 Brian Waddell, #23 Sam Donald, #24 Michael Wilson",Transition,Reversal 0,Shot Qual 3,,,,,
251212,1730.5978481666725,20.0338153153275,Red,1,,-3,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,Scramble,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 3,Shot Qual 3,,,,,
251212,3953.6975474492856,7.107661415714574,Red,2,,"Deflection, Steal",Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Transition,Reversal 0,No Shot,,,,,
251212,3969.8982339002396,13.59146766576032,Red,3,,-3,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 1,,,,,
251212,3994.6973847912623,6.778013872737574,Red,4,,,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 0,No Shot,,,,,
251212,4089.7963114570034,13.353115785996579,Red,5,,-3,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 2,,,,,
251212,4139.355524235316,14.570922384684309,Red,6,,-3,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #22 Darrius Bolden | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #22 Darrius Bolden, #44 Jacob Wassler",Half Court,Reversal 0,Shot Qual 3,,,,,
251212,4194.0969595836605,13.34616320833993,Red,7,,,Box Touch 0,, | #4 Grant Neal | #5 Myles Watkins | #7 Donovan Hunter | #14 Dom Murphy | #22 Darrius Bolden,5v5 Hog,"#4 Grant Neal, #5 Myles Watkins, #7 Donovan Hunter, #14 Dom Murphy, #22 Darrius Bolden",Half Court,Reversal 0,No Shot,,,,,
251212,4292.19698540425,20.10713841775032,Red,8,,,Box Touch 0,, | #4 Grant Neal | #10 Grant Whitaker | #22 Darrius Bolden | #23 Sam Donald | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #10 Grant Whitaker, #22 Darrius Bolden, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 1,No Shot,,,,,
251212,4362.472,27.25137413199991,Red,9,,+3,Box Touch 1,, | #4 Grant Neal | #10 Grant Whitaker | #14 Dom Murphy | #23 Sam Donald | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #10 Grant Whitaker, #14 Dom Murphy, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 4,Shot Qual 2,,,,,
251212,4409.797851124567,18.615867396432805,Red,10,,+3,Box Touch 0,, | #4 Grant Neal | #10 Grant Whitaker | #14 Dom Murphy | #23 Sam Donald | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #10 Grant Whitaker, #14 Dom Murphy, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 1,Shot Qual 3,,,,,
251212,4438.095552620338,21.070392913661635,Red,11,,-3,Box Touch 0,, | #4 Grant Neal | #10 Grant Whitaker | #14 Dom Murphy | #23 Sam Donald | #44 Jacob Wassler,5v5 Hog,"#4 Grant Neal, #10 Grant Whitaker, #14 Dom Murphy, #23 Sam Donald, #44 Jacob Wassler",Half Court,Reversal 2,Shot Qual 3,,,,,
251212,1627.596068535,8.0,#8 Kenyon Goodin,1,,+3,Box Touch 1,,,Scramble,,Half Court,Reversal 1,Shot Qual 3,,,,,
251212,1648.920704648,10.0,#8 Kenyon Goodin,2,,Crash,,,,,,,,,,,,,
251212,1673.200869428,8.0,#8 Kenyon Goodin,3,,+3,Box Touch 1,,,Scramble,,Half Court,Reversal 3,Shot Qual 3,,,,,
251212,1743.039169038,10.0,#8 Kenyon Goodin,4,,D REB,,,,,,,,,,,,,
251212,3944.706820433,8.0,#8 Kenyon Goodin,5,,-3,Box Touch 1,,,5v5 Hog,,Half Court,Reversal 4,Shot Qual 3,,,,,
251212,3952.805208865,10.0,#8 Kenyon Goodin,6,,Deflection,,,,5v5 Hog,,Transition,,,,,,,
251212,1626.514688847,10.0,#23 Sam Donald,1,,Crash,,,,,,,,,,,,,
251212,1627.596068535,10.0,#23 Sam Donald,2,,Assist,,,,Scramble,,Half Court,,,,,,,
251212,1648.920704648,10.0,#23 Sam Donald,3,,Crash,,,,,,,,,,,,,
251212,1671.144822176,10.0,#23 Sam Donald,4,,Crash,,,,,,,,,,,,,
251212,3942.883340677,10.0,#23 Sam Donald,5,,No Crash,,,,,,,,,,,,,
251212,3952.805208865,10.0,#23 Sam Donald,6,,Steal,,,,5v5 Hog,,Transition,,,,,,,
251212,4076.279622433,10.0,#23 Sam Donald,7,,Cut Assist,,,,5v5 Hog,,Half Court,,,,,,,
251212,4076.755453008,10.0,#23 Sam Donald,8,,Crash,,,,,,,,,,,,,
251212,4083.646281708,8.0,#23 Sam Donald,9,,-3,Box Touch 0,,,5v5 Hog,,Half Court,Reversal 1,Shot Qual 3,,,,,
251212,4100.093708833,8.0,#23 Sam Donald,10,,+2,Box Touch 1,,,5v5 Hog,,Transition,Reversal 0,Shot Qual 4,,,,,
251212,4209.171264991,10.0,#23 Sam Donald,11,,Assist,,,,5v5 Hog,,Transition,,,,,,,
251212,4209.244108919,10.0,#23 Sam Donald,12,,No Crash,,,,,,,,,,,,,
251212,4381.723374132,8.0,#23 Sam Donald,13,,+3,Box Touch 1,,,5v5 Hog,,Half Court,Reversal 4,Shot Qual 2,,,,,
251212,4450.231452977,10.0,#23 Sam Donald,14,,Crash,,,,,,,,,,,,,
251212,1626.514688847,10.0,#10 Grant Whitaker,1,,Crash,,,,,,,,,,,,,
251212,1648.766705871,8.0,#10 Grant Whitaker,2,,+3,Box Touch 0,,,Scramble,,Half Court,Reversal 1,Shot Qual 3,,,,,
251212,1671.144822176,10.0,#10 Grant Whitaker,3,,Crash,,,,,,,,,,,,,
251212,1673.200869428,10.0,#10 Grant Whitaker,4,,Assist,,,,Scramble,,Half Court,,,,,,,
251212,1705.472965374,10.0,#10 Grant Whitaker,5,,Assist,,,,Scramble,,Half Court,,,,,,,
251212,4076.755453008,10.0,#10 Grant Whitaker,6,,O REB,,,,,,,,,,,,,
251212,4076.755453008,10.0,#10 Grant Whitaker,7,,Crash,,,,,,,,,,,,,
251212,4083.139968593,10.0,#10 Grant Whitaker,8,,No Crash,,,,,,,,,,,,,
251212,4199.443122792,10.0,#10 Grant Whitaker,9,,Steal,,,,5v5 Hog,,Half Court,,,,,,,
251212,4209.244108919,10.0,#10 Grant Whitaker,10,,Crash,,,,,,,,,,,,,
251212,4381.334065171,10.0,#10 Grant Whitaker,11,,No Crash,,,,,,,,,,,,,
251212,4420.155809291,10.0,#10 Grant Whitaker,12,,No Crash,,,,,,,,,,,,,
251212,4420.413718521,10.0,#10 Grant Whitaker,13,,Assist,,,,5v5 Hog,,Half Court,,,,,,,
251212,4450.265811583,10.0,#10 Grant Whitaker,14,,No Crash,,,,,,,,,,,,,
251212,1626.514688847,10.0,#11 Brian Waddell,1,,Crash,,,,,,,,,,,,,
251212,1648.766705871,10.0,#11 Brian Waddell,2,,Assist,,,,Scramble,,Half Court,,,,,,,
251212,1648.920704648,10.0,#11 Brian Waddell,3,,Crash,,,,,,,,,,,,,
251212,1671.144822176,10.0,#11 Brian Waddell,4,,No Crash,,,,,,,,,,,,,
251212,3942.883340677,10.0,#11 Brian Waddell,5,,No Crash,,,,,,,,,,,,,
251212,3993.475398664,10.0,#11 Brian Waddell,6,,Steal,,,,5v5 Hog,,Half Court,,,,,,,
251212,4076.605219836,10.0,#11 Brian Waddell,7,,No Crash,,,,,,,,,,,,,
251212,4083.139968593,10.0,#11 Brian Waddell,8,,No Crash,,,,,,,,,,,,,
251212,4146.041258628,10.0,#11 Brian Waddell,9,,D REB,,,,,,,,,,,,,
